Q12,Q14,Q10,Q16,Unnamed: 9,Unnamed: 10,Student Activity by Day in hours,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Avg course & student time &logins,Unnamed: 19,Unnamed: 20,Unnamed: 21,Student Activity by Item in the Course total time spent in hours,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Number of Times Accessed,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Initial Access Date/Time,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
Nigeria,1986,Female,"CAH06-01	Agriculture, food and related studies",12,03/10/22 - 09/10/22,0.189445,6.689166666666667,0,0.007778333333333333,0.049721666666666664,0,0,06:56:10,01:19:38,5,13,0,0.006666666666666667,0.009445000000000002,1.5966666666666667,3.15889,0,0,6,1,6,6,0,,2022-10-03 12:18:20.720000,2022-10-04 14:33:38.001000,2022-10-03 12:18:52.334000,2022-10-03 12:18:24.798000,,
United Kingdom of Great Britain and Northern Ireland,1995,Male,CAH11-01	Computing,13,03/10/22 - 09/10/22,0,4.679166666666666,0.04416666666666667,0,0,0.008888333333333333,0,04:43:56,01:19:38,3,5,0,0.0022216666666666665,1.4852783333333335,0,3.145,0,0,3,3,0,3,0,,2022-10-04 11:04:32.766000,2022-10-04 14:14:27.735000,,2022-10-04 11:04:37.310000,,
Bangladesh,1997,Female,CAH10-01	Engineering,14,03/10/22 - 09/10/22,0,3.305,0,0,0,0,0,03:18:18,01:19:38,8,8,0,0.008888333333333333,1.7569450000000002,0.058611666666666666,1.1366666666666667,0,0,4,3,2,3,0,,2022-10-04 12:49:11.031000,2022-10-04 12:40:49.049000,2022-10-04 12:43:55.031000,2022-10-04 12:49:18.623000,,
Italy,2000,Female,CAH16-01	Law,15,03/10/22 - 09/10/22,0.27666666666666667,0.6108333333333333,0,0.0725,0,0,0.0016666666666666668,00:57:42,01:19:38,3,10,0,0.005555000000000001,0.0013883333333333332,0,0.18333333333333332,0,0,6,1,0,5,0,,2022-10-03 15:11:50.041000,2022-10-03 15:12:22.128000,,2022-10-03 15:11:53.473000,,
Sri Lanka,1993,Female,CAH17-01	Business and management,16,03/10/22 - 09/10/22,0,0,0,0,0,0,0,00:00:00,01:19:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Viet Nam,1999,Male,CAH11-01	Computing,17,03/10/22 - 09/10/22,0,3.7741666666666664,0.021666666666666667,0,0.0008333333333333334,0,1.6908333333333334,05:29:15,01:19:38,9,19,0,0.3027783333333333,0.004445,1.8636116666666669,0.719445,0,0,12,4,4,6,0,,2022-10-04 10:45:34.183000,2022-10-04 10:45:16.351000,2022-10-04 10:45:27.593000,2022-10-04 10:45:35.702000,,
Viet Nam,1996,Female,CAH17-01	Business and management,18,03/10/22 - 09/10/22,0.07722166666666667,2.310555,0,0,0,0,0,02:23:16,01:19:38,5,18,0,0.0033333333333333335,0.0027783333333333336,0.00389,1.0230566666666667,0,0,8,2,8,7,0,,2022-10-03 14:10:57.311000,2022-10-03 14:10:54.609000,2022-10-03 14:10:53.314000,2022-10-03 14:10:59.208000,,
United Kingdom of Great Britain and Northern Ireland,2001,Male,CAH15-02	Economics,19,03/10/22 - 09/10/22,0,0,0,0,0,0,0.016111666666666666,00:00:58,01:19:38,1,1,0,0.00027833333333333334,0,0,0,0,0,1,0,0,0,0,,2022-10-09 23:17:24.116000,,,,,
Sri Lanka,1989,Female,CAH17-01	Business and management,20,03/10/22 - 09/10/22,0,0.315,0,0,0,0,0,00:18:54,01:19:54,4,4,0,0.000555,0.0008333333333333334,0,0.29638833333333336,0,0,1,1,0,1,0,,2022-10-04 23:03:12.885000,2022-10-04 23:03:09.998000,,2022-10-04 23:03:15.047000,,
Sri Lanka,1997,Male,CAH17-01	Business and management,21,03/10/22 - 09/10/22,0,2.9116666666666666,0,0,0,0,0,02:54:42,01:19:38,6,6,0,0.0016666666666666668,0.095555,0.3736116666666666,0.08472166666666665,0,0,3,2,3,3,0,,2022-10-04 09:36:29.167000,2022-10-04 09:30:52.828000,2022-10-04 13:18:32.036000,2022-10-04 09:36:31.499000,,
Nigeria,1990,Male,"CAH07-04	General, applied and forensic sciences",22,03/10/22 - 09/10/22,0,1.3133333333333332,0.004445,0,0,0,0,01:19:04,01:19:38,5,6,0,0.001945,0.007221666666666667,0.0027783333333333336,1.2788883333333334,0,0,2,2,2,1,0,,2022-10-04 15:53:51.445000,2022-10-04 17:08:24.301000,2022-10-04 17:08:45.901000,2022-10-04 15:53:54.713000,,
Nigeria,1993,Female,CAH09-01	Mathematical sciences,23,03/10/22 - 09/10/22,0,0.010278333333333334,0,0,0,0,0,00:00:37,01:19:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
United Kingdom of Great Britain and Northern Ireland,1988,Male,CAH03-01	Biosciences,24,03/10/22 - 09/10/22,0,2.9775,0,1.1400000000000001,0,0.12361166666666668,0,04:14:28,01:19:38,3,3,0,0.0008333333333333334,0.6950000000000001,0,2.026945,0,0,1,1,0,1,0,,2022-10-04 14:58:42.539000,2022-10-04 14:02:35.904000,,2022-10-04 14:58:45.063000,,
United Kingdom of Great Britain and Northern Ireland,2000,Male,CAH17-01	Business and management,25,03/10/22 - 09/10/22,0,0.016666666666666666,0,0,0,0,0,00:01:00,01:19:38,4,4,0,0.00027833333333333334,0,0.000555,0,0,0,1,0,2,1,0,,2022-10-04 15:37:42.258000,,2022-10-04 09:06:45.752000,2022-10-04 15:37:43.518000,,
United Kingdom of Great Britain and Northern Ireland,1998,Male,CAH15-02	Economics,26,03/10/22 - 09/10/22,0,2.481943333333333,0,0,0,0,0,02:28:55,01:19:38,3,3,0,0.0022216666666666665,0.000555,0,0.149445,0,0,2,1,0,2,0,,2022-10-04 15:44:39.470000,2022-10-04 13:25:50.746000,,2022-10-04 15:44:43.449000,,
Switzerland,1996,Female,CAH17-01	Business and management,27,03/10/22 - 09/10/22,0.148055,1.5969450000000003,0.006111666666666666,0,0,0.003055,0,01:45:15,01:19:38,3,6,0,0.0033316666666666664,0.46888833333333335,0,1.1022216666666667,0,0,3,2,0,2,0,,2022-10-04 14:58:47.604000,2022-10-04 14:11:00.414000,,2022-10-04 14:58:49.725000,,
United Kingdom of Great Britain and Northern Ireland,1995,Non-binary / third gender,"CAH15-01	Sociology, social policy and anthropology",28,03/10/22 - 09/10/22,0,0,0,0,0.0008333333333333334,0,0,00:00:03,01:19:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
United Kingdom of Great Britain and Northern Ireland,1998,Male,CAH11-01	Computing,29,03/10/22 - 09/10/22,0,0.006944999999999999,0.015554999999999998,0,0.009445000000000002,0.005,0,00:02:13,01:19:38,4,5,0,0.005556666666666667,0,0,0.005,0,0,6,0,0,2,0,,2022-10-04 13:10:48.064000,,,2022-10-25 09:58:19.976000,,
Spain,1983,Male,CAH10-01	Engineering,30,03/10/22 - 09/10/22,0.5458333333333333,0.8922216666666667,0.010555,0,0,0,0.007221666666666667,01:27:20,01:19:38,6,17,0,0.005555000000000001,0.001945,0.09639,0.9113883333333334,0,0,8,2,7,6,0,,2022-10-03 12:04:21.780000,2022-10-03 13:15:59.334000,2022-10-03 12:05:34.017000,2022-10-03 12:04:23.181000,,
India,1998,Male,CAH11-01	Computing,31,03/10/22 - 09/10/22,0,1.3280549999999998,0.006111666666666666,0,0,0,0,01:20:03,01:19:38,2,2,0,0.0011116666666666666,0,0,1.3016666666666665,0,0,2,0,0,2,0,,2022-10-04 14:31:56.093000,,,2022-10-04 14:31:58.234000,,
Nigeria,1979,Female,CAH17-01	Business and management,32,03/10/22 - 09/10/22,0,0,0,0,0,0,0,00:00:00,01:19:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Nigeria,1970,Prefer to self-describe,CAH17-01	Business and management,33,03/10/22 - 09/10/22,0,0.0011116666666666666,0,0,0,0,0,00:00:04,01:19:38,2,2,0,0.000555,0,0,0,0,0,1,0,0,1,0,,2022-10-04 15:47:52.819000,,,2022-10-04 15:47:55.162000,,
Sri Lanka,1992,Female,CAH17-01	Business and management,34,03/10/22 - 09/10/22,0,0.6180566666666666,0,0,0,0,0,00:37:05,01:19:38,2,2,0,0.00027833333333333334,0,0,0.355555,0,0,2,0,0,1,0,,2022-10-04 15:39:03.985000,,,2022-10-04 15:39:05.475000,,
Nigeria,1999,Male,CAH11-01	Computing,35,03/10/22 - 09/10/22,0,3.8136116666666666,0,0,0,0,0.05222166666666666,03:51:57,01:19:38,4,6,0,0.007776666666666666,0.16111166666666665,0,2.074445,0,0,4,1,0,2,0,,2022-10-04 15:48:35.997000,2022-10-04 14:02:07.854000,,2022-10-04 15:48:37.560000,,
Nigeria,1987,Female,"CAH07-04	General, applied and forensic sciences",36,03/10/22 - 09/10/22,0.023611666666666663,0.17222333333333334,2.158888333333333,0,0.03527833333333333,0,0,02:23:24,01:19:38,2,0,0,0.0036100000000000004,0,0,2.306388333333333,0,0,3,0,0,3,0,,2022-10-04 14:20:26.401000,,,2022-10-04 14:20:30.535000,,
Sri Lanka,1981,Male,CAH17-01	Business and management,37,03/10/22 - 09/10/22,0.025,0.016944999999999998,0,0,0,0,0,00:02:31,01:19:38,2,4,0,0.01638833333333333,0,0,0.017221666666666666,0,0,2,0,0,2,0,,2022-10-03 21:49:54.866000,,,2022-10-03 21:50:05.988000,,
Pakistan,1993,Male,CAH11-01	Computing,38,03/10/22 - 09/10/22,0,1.1444450000000002,0,0,0,0,0,01:08:40,01:19:38,2,2,0,0.0008333333333333334,0,0,1.1302783333333333,0,0,1,0,0,1,0,,2022-10-04 15:52:38.304000,,,2022-10-04 15:52:41.536000,,
Pakistan,1991,Female,CAH11-01	Computing,39,03/10/22 - 09/10/22,0,0.011388333333333332,0.008055,0,0,0,0,00:01:10,01:19:38,3,3,0,0.000555,0.0016666666666666668,0,0,0,0,1,2,0,1,0,,2022-10-04 15:47:51.604000,2022-10-05 15:43:08.368000,,2022-10-04 15:47:53.219000,,
Sri Lanka,1996,Male,CAH17-01	Business and management,40,03/10/22 - 09/10/22,0.0013883333333333332,0.29472333333333334,0.15083333333333335,0,0,0,0,00:26:49,01:19:38,2,7,0,0.0030533333333333332,0,0,0.15388833333333335,0,0,4,0,0,3,0,,2022-10-04 10:15:36.128000,,,2022-10-04 10:15:38.375000,,
India,1992,Male,CAH15-02	Economics,41,03/10/22 - 09/10/22,0,0.0033333333333333335,0,0,0,0,0,00:00:12,01:19:38,2,2,0,0.000555,0,0,0,0,0,1,0,0,1,0,,2022-10-04 15:46:59.276000,,,2022-10-04 15:47:00.779000,,
United Kingdom of Great Britain and Northern Ireland,1975,Female,CAH07-01	Physics and astronomy,42,03/10/22 - 09/10/22,0,0.5572233333333333,0,0,0.001945,0,0,00:33:33,01:19:38,5,9,0,0.001665,0.0016666666666666668,0.28027833333333335,0.020555,0,0,3,1,4,3,0,,2022-10-04 09:43:34.909000,2022-10-04 16:55:30.974000,2022-10-04 09:44:50.223000,2022-10-04 09:43:36.666000,,
Sri Lanka,1990,Female,CAH17-01	Business and management,43,03/10/22 - 09/10/22,0,4.0216666666666665,0,0.06833333333333333,0,0,0,04:05:24,01:19:38,3,3,0,0.0022216666666666665,0.026111666666666665,0,0.920555,0,0,3,3,0,3,0,,2022-10-04 16:24:36.415000,2022-10-04 16:24:34.051000,,2022-10-04 16:24:40.349000,,
Malaysia,1993,Male,CAH17-01	Business and management,44,03/10/22 - 09/10/22,0.0047216666666666665,2.238888333333333,0,0,0,0.009445000000000002,0,02:15:11,01:19:38,8,14,0,1.2108333333333334,0.007500000000000001,0.01694333333333333,0.3811116666666666,0,0,8,3,6,6,0,,2022-10-04 10:40:11.942000,2022-10-03 17:10:12.041000,2022-10-03 17:10:14.613000,2022-10-04 10:41:19.194000,,
Thailand,1993,Male,CAH10-01	Engineering,45,03/10/22 - 09/10/22,0,4.13,0,0,0,0,0.003055,04:07:59,01:19:38,2,2,0,0.0022216666666666665,0,0,1.445555,0,0,3,0,0,3,0,,2022-10-04 11:28:26.848000,,,2022-10-04 11:28:31.844000,,
India,1994,Male,CAH17-01	Business and management,46,03/10/22 - 09/10/22,0.008333333333333333,0.5780550000000001,0,0,0,0,0,00:35:11,01:19:38,7,7,0,0.0027783333333333336,0.008888333333333333,0.025278333333333333,0.3733333333333333,0,0,2,3,2,2,0,,2022-10-04 19:29:20.324000,2022-10-04 19:23:10.754000,2022-10-04 19:53:28.781000,2022-10-04 19:29:25.174000,,
United Kingdom of Great Britain and Northern Ireland,1997,Female,"CAH26-01 Geography, earth and environmental studies",47,03/10/22 - 09/10/22,0,0,0,0,0,0,0,00:00:00,01:19:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Malaysia,1992,Male,CAH25-01	Creative arts and design,48,03/10/22 - 09/10/22,0,0.7683333333333333,0.019166666666666665,0,0,0,0,00:47:15,01:19:38,6,8,0,0.004166666666666667,0.0013883333333333332,0.0022216666666666665,0.6405550000000001,0,0,7,3,1,5,0,,2022-10-04 13:11:03.966000,2022-10-04 13:11:02.520000,2022-10-04 13:18:39.871000,2022-10-04 13:11:06.597000,,
Nigeria,1984,Female,CAH11-01	Computing,49,03/10/22 - 09/10/22,0,0.026388333333333337,0,0,0,0,0,00:01:35,01:19:38,3,3,0,0.0008333333333333334,0,0,0,0,0,1,0,0,1,0,,2022-10-04 15:55:40.195000,,,2022-10-04 15:55:42.927000,,
Nigeria,1992,Male,CAH11-01	Computing,50,03/10/22 - 09/10/22,0.5,4.597778333333333,0,0,0,0.359445,0,05:27:26,01:19:38,4,9,0,0.0027783333333333336,0.0008333333333333334,0.0033333333333333335,1.623055,0,0,3,1,2,3,0,,2022-10-03 11:56:58.928000,2022-10-03 11:57:33.802000,2022-10-03 11:57:53.976000,2022-10-03 11:57:03.011000,,
Nigeria,1998,Female,CAH16-01	Law,51,03/10/22 - 09/10/22,0.22333333333333333,0.08138833333333334,0,0,0,0,0,00:18:17,01:19:38,3,6,0,0.0013883333333333332,0.09583333333333334,0,0.023611666666666663,0,0,2,3,0,2,0,,2022-10-03 11:10:40.459000,2022-10-03 11:06:59.337000,,2022-10-03 11:10:43.544000,,
Nigeria,1991,Female,CAH10-03	Materials and technology,52,03/10/22 - 09/10/22,0.021111666666666664,0.07027833333333335,0,0,0,0,0,00:05:29,01:19:38,1,2,0,0,0,0,0.010555,0,0,0,0,0,2,0,,,,,2022-10-04 14:49:40.154000,,
Nigeria,2001,Female,CAH09-01	Mathematical sciences,53,03/10/22 - 09/10/22,0,0,0,0,0.023611666666666663,0,0,00:01:25,01:19:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Nigeria,1979,Female,CAH11-01	Computing,54,03/10/22 - 09/10/22,1.550555,1.8188883333333332,0.17722333333333334,1.1683333333333332,0,0,0,04:42:54,01:19:38,12,17,0,1.2197216666666664,0.15888833333333335,0.07083333333333333,1.81861,0,0,7,4,4,6,0,,2022-10-03 14:03:21.571000,2022-10-03 13:02:41.652000,2022-10-03 12:56:38.302000,2022-10-03 13:02:00.897000,,
Nigeria,1986,Female,CAH10-03	Materials and technology,55,03/10/22 - 09/10/22,0,3.5697216666666667,0,0,0,0,0,03:34:11,01:19:38,4,4,0,0.0025,0.0033333333333333335,0,0.9191666666666667,0,0,3,2,0,2,0,,2022-10-04 14:05:08.209000,2022-10-04 14:05:05.444000,,2022-10-04 14:05:11.634000,,
Nigeria,1986,Female,CAH11-01	Computing,56,03/10/22 - 09/10/22,0,1.1913883333333333,0.5127783333333333,0.14222166666666666,0,0.256945,0,02:06:12,01:19:38,5,7,0,0.0025,0.0016666666666666668,0.13333333333333333,0.29416666666666663,0,0,3,1,2,2,0,,2022-10-05 11:51:31.935000,2022-10-05 13:34:22.476000,2022-10-06 13:13:54.977000,2022-10-05 11:51:34.819000,,
Nigeria,1990,Female,CAH17-01	Business and management,57,03/10/22 - 09/10/22,0,0,0,0,0,0,0,00:00:00,01:19:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Nigeria,1992,Male,CAH03-01	Biosciences,58,03/10/22 - 09/10/22,0.009166666666666667,1.5661116666666668,0.011945,0,0,0,0,01:35:14,01:19:38,4,4,0,0.0013883333333333332,0.059445,0,0.3977783333333333,0,0,2,1,0,2,0,,2022-10-04 14:07:10.456000,2022-10-04 14:03:36.729000,,2022-10-04 14:07:12.643000,,
Sri Lanka,1991,Male,CAH10-01	Engineering,59,03/10/22 - 09/10/22,0,0.034166666666666665,0,0,0,0,0,00:02:03,01:19:38,2,2,0,0,0,0,0.0027783333333333336,0,0,0,1,0,1,0,,,2022-10-04 14:09:44.678000,,2022-10-04 14:09:35.065000,,
Viet Nam,1997,Female,CAH17-01	Business and management,60,03/10/22 - 09/10/22,0.05611166666666667,2.1025,0.9058333333333334,0.6322216666666667,2.778611666666667,0.018888333333333333,1.7872216666666667,08:16:53,01:19:38,6,38,0,0.2072216666666667,0.21138833333333334,0.641945,5.490553333333334,0,0,33,10,12,19,0,,2022-10-03 16:37:49.588000,2022-10-03 16:38:12.527000,2022-10-03 16:38:25.594000,2022-10-03 16:37:51.503000,,
India,1993,Female,CAH10-01	Engineering,61,03/10/22 - 09/10/22,0.0525,2.0827766666666667,0.31805500000000003,0,0,0,0,02:27:11,01:19:38,6,12,0,0.7930550000000001,0.0022216666666666665,0.003888333333333333,0.6147233333333334,0,0,5,1,5,3,0,,2022-10-04 14:02:29.892000,2022-10-04 15:44:39.076000,2022-10-03 22:18:49.312000,2022-10-04 14:02:34.677000,,
Turkey,1996,Male,CAH17-01	Business and management,62,03/10/22 - 09/10/22,0,0.027778333333333332,0,0,0,0,0,00:01:40,01:19:38,2,4,0,0.015554999999999998,0,0,0,0,0,2,0,0,2,0,,2022-10-04 15:47:06.116000,,,2022-10-04 15:48:00.420000,,
United Kingdom of Great Britain and Northern Ireland,1998,Female,CAH17-01	Business and management,63,03/10/22 - 09/10/22,0,4.725555,0,0,0,0,0,04:43:32,01:19:38,5,5,0,0.007778333333333333,0.0008333333333333334,0.15,2.254166666666667,0,0,2,1,6,2,0,,2022-10-04 11:06:54.723000,2022-10-04 11:06:51.337000,2022-10-04 11:07:10.756000,2022-10-04 11:06:58.448000,,
Iran,1989,Female,CAH15-04	Health and social care,64,03/10/22 - 09/10/22,0,0.0033333333333333335,0,0,0,0,0,00:00:12,01:19:38,2,2,0,0.0016666666666666668,0,0,0,0,0,1,0,0,1,0,,2022-10-04 15:51:55.849000,,,2022-10-04 15:52:01.428000,,
Hong Kong (S.A.R.),2000,Male,"CAH13-01	Architecture, building and planning",65,03/10/22 - 09/10/22,0,0,0,0,0,0,0,00:00:00,01:19:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Hong Kong (S.A.R.),1995,Female,"CAH15-01	Sociology, social policy and anthropology",66,03/10/22 - 09/10/22,0.10194333333333333,1.6036116666666667,0,0,0.008055,0.10222166666666667,0,01:48:56,01:19:38,6,27,0,0.03972166666666666,0.005835000000000001,0.047223333333333326,1.4447216666666665,0,0,12,5,10,10,0,,2022-10-03 16:12:57.368000,2022-10-03 22:53:36.967000,2022-10-03 16:13:01.265000,2022-10-03 16:12:58.550000,,
India,1987,Female,CAH17-01	Business and management,67,03/10/22 - 09/10/22,0,6.074166666666667,0.01,0,0,0,0,06:05:03,01:19:38,5,7,0,0.0016666666666666668,2.839445,0.000555,3.225556666666667,0,0,3,1,1,3,0,,2022-10-04 14:25:48.205000,2022-10-04 14:58:19.857000,2022-10-04 14:26:42.873000,2022-10-04 14:25:50.888000,,
Myanmar,1996,Female,CAH11-01	Computing,68,03/10/22 - 09/10/22,0,0.0011116666666666666,0,0,0,0,0,00:00:04,01:19:38,2,2,0,0.000555,0,0,0,0,0,1,0,0,1,0,,2022-10-04 15:49:24.942000,,,2022-10-04 15:49:26.585000,,
United Kingdom of Great Britain and Northern Ireland,1992,Male,CAH10-01	Engineering,69,03/10/22 - 09/10/22,0,1.07,0,0,0,0,0,01:04:12,01:19:38,3,3,0,0.0011116666666666666,0.0013883333333333332,0,1.0358333333333334,0,0,3,3,0,1,0,,2022-10-04 15:47:56.456000,2022-10-04 15:47:55.246000,,2022-10-04 15:48:42.253000,,
Nigeria,1995,Male,CAH15-02	Economics,70,03/10/22 - 09/10/22,0,0.35083333333333333,0,0,0,0,0,00:21:03,01:19:38,3,3,0,0.0011116666666666666,0,0.0011116666666666666,0,0,0,1,0,1,1,0,,2022-10-04 14:24:07.866000,,2022-10-04 14:13:36.773000,2022-10-04 14:24:11.651000,,
Viet Nam,1998,Male,CAH15-02	Economics,71,03/10/22 - 09/10/22,0.015000000000000001,0.993055,0,0,0,0,0,01:00:29,01:19:38,6,10,0,0.0016666666666666668,0.007221666666666667,0.2983333333333333,0.17083333333333334,0,0,3,2,2,3,0,,2022-10-03 14:45:42.439000,2022-10-03 14:45:23.966000,2022-10-04 15:00:19.411000,2022-10-03 14:45:45.200000,,
India,1984,Male,"CAH06-01	Agriculture, food and related studies",72,03/10/22 - 09/10/22,0,0.20361166666666666,0,0.3716666666666667,1.0666666666666667,0,0,01:38:31,01:19:38,3,6,0,0.034721666666666665,0.019166666666666665,0,0.9736116666666667,0,0,4,2,0,2,0,,2022-10-04 15:39:55.647000,2022-10-06 14:19:41.327000,,2022-10-04 15:40:44.058000,,
India,1997,Female,CAH10-01	Engineering,73,03/10/22 - 09/10/22,0,0.5741666666666667,0,0,0,0,0.001945,00:34:34,01:19:38,6,10,0,0.004166666666666667,0,0.005278333333333333,0.028611666666666664,0,0,5,1,2,5,0,,2022-10-04 14:25:27.085000,2022-10-04 14:59:34.975000,2022-10-04 14:27:38.073000,2022-10-04 14:25:31.472000,,
Sri Lanka,1986,Female,CAH17-01	Business and management,74,03/10/22 - 09/10/22,0.0125,1.3752783333333334,0,0,0,0.003055,0,01:23:27,01:19:38,5,7,0,0.0027766666666666664,0.0011116666666666666,0.0008333333333333334,1.3288883333333332,0,0,4,1,2,3,0,,2022-10-04 14:28:22.278000,2022-10-04 15:48:20.410000,2022-10-03 12:06:54.034000,2022-10-04 14:28:24.994000,,
Sri Lanka,1980,Male,CAH17-01	Business and management,75,03/10/22 - 09/10/22,0.6388883333333334,1.7141666666666666,0,0,0,0,0,02:21:11,01:19:38,4,7,0,0.0025,0.11722166666666665,0.04861166666666667,0.012778333333333334,0,0,3,2,1,3,0,,2022-10-03 11:52:03.630000,2022-10-03 11:29:25.820000,2022-10-03 11:52:46.578000,2022-10-03 11:52:07.988000,,
