student_id,list_of_countries,what_is_your_year_of_birth_just_the_year_eg_1995_,how_do_you_describe_yourself___selected_choice,how_do_you_describe_yourself___prefer_to_self_describe___text,what_is_your_first_degree_subject_area,how_many_years_work_experience_do_you_have,what_sectors_have_you_worked_in,previous_experiences_of_team_working_in_study_and_work,i_will_enjoy_working_in_the_team,team_communication_will_be_highly_effective,team_communication_will_be_very_frequent,my_team_will_bond_personally_as_well_as_professionally,we_will_collaborate_together_on_the_same_tasks,work_on_separate_tasks_and_link_them_together_later_on,develop_my_professional_skills_as_a_result_of_the_team_project,develop_my_team_working_skills_and_collaboration,we_will_adjust_the_project_regularly_as_we_go_along,we_will_stick_to_our_original_project_plan,we_will_produce_an_end_result_which_we_are_proud_of,i_see_myself_as___extraverted_enthusiastic,i_see_myself_as___critical_quarrelsome,i_see_myself_as___dependable_self_disciplined,i_see_myself_as___anxious_easily_upset,i_see_myself_as___open_to_a_new_experiences_complex,i_see_myself_as___reserved_quiet,i_see_myself_as___sympathetic_warm,i_see_myself_as___disorganised_careless,i_see_myself_as___calm_emotionally_stable,i_see_myself_as___conventional_uncreative,because_i_think_that_this_module_is_interesting,because_i_am_doing_it_for_my_own_good,because_i_am_supposed_to_do_it,personally_i_don’t_see_any_good_reasons_in_the_module,because_i_think_that_this_module_is_pleasant,because_i_think_that_this_module_is_good_for_me,because_it_is_something_that_i_have_to_do,not_sure_if_it_is_worth_it,because_this_module_looks_fun,by_personal_decision,because_i_don’t_have_any_choice,i_don’t_see_what_this_module_brings_me,feel_good_about_this_module,because_i_feel_that_i_have_to_do_it,it_is_a_good_thing_to_pursue_it,not_sure_it_is_a_good_thing_to_pursue_it
11,126,1996,2,,12.0,,"14,19",3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,2.0,5.0,2.0,1.0,7.0,1.0,7.0,4.0,7.0,1.0,7.0,2.0,7.0,7.0,7.0,1.0,7.0,7.0,4.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0,1.0,1.0
12,126,1986,2,,10.0,10.0,11,4.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,1.0,6.0,4.0,5.0,6.0,6.0,2.0,5.0,5.0,6.0,7.0,7.0,1.0,6.0,7.0,4.0,1.0,6.0,4.0,4.0,1.0,6.0,6.0,5.0,1.0
13,185,1995,1,,17.0,6.0,"9,10",4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0,5.0,7.0,2.0,6.0,1.0,7.0,1.0,5.0,3.0,7.0,3.0,6.0,7.0,7.0,1.0,5.0,7.0,7.0,1.0,6.0,1.0,7.0,1.0,6.0,7.0,7.0,1.0
14,14,1997,2,,15.0,0.0,,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,1.0,7.0,1.0,7.0,2.0,7.0,1.0,7.0,1.0,7.0,1.0,6.0,1.0,7.0,7.0,6.0,1.0,6.0,6.0,1.0,1.0,7.0,7.0,6.0,1.0
15,84,2000,2,,23.0,1.0,"9,19",2.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,5.0,4.0,3.0,5.0,3.0,2.0,7.0,1.0,7.0,5.0,5.0,1.0,6.0,1.0,7.0,7.0,5.0,1.0,6.0,7.0,5.0,1.0,7.0,1.0,5.0,1.0,6.0,7.0,1.0,1.0
16,164,1993,2,,24.0,5.0,"3,10",2.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,6.0,2.0,6.0,1.0,7.0,2.0,6.0,2.0,6.0,1.0,7.0,6.0,2.0,2.0,7.0,7.0,4.0,2.0,6.0,6.0,2.0,2.0,6.0,6.0,4.0,2.0
17,192,1999,1,,17.0,1.0,"10,16",2.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,6.0,2.0,5.0,5.0,6.0,1.0,6.0,4.0,6.0,5.0,7.0,2.0,4.0,6.0,6.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,6.0,2.0
18,192,1996,2,,24.0,1.0,"11,16",2.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,2.0,4.0,3.0,5.0,5.0,4.0,6.0,5.0,6.0,3.0,4.0,3.0,6.0,6.0,6.0,2.0,4.0,5.0,6.0,3.0,5.0,5.0,2.0,2.0,5.0,5.0,5.0,2.0
19,185,2001,1,,20.0,0.0,,2.0,4.0,4.0,3.0,4.0,3.0,2.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,2.0,7.0,3.0,4.0,2.0,5.0,4.0,,,,,,,,,,,,,,,,
20,164,1989,2,,24.0,12.0,"11,13",4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,3.0,6.0,4.0,6.0,7.0,7.0,5.0,5.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,7.0,3.0,3.0,4.0,7.0,7.0,5.0,6.0
21,164,1997,1,,24.0,3.0,11,2.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,6.0,6.0,7.0,6.0,7.0,5.0,6.0,2.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,6.0,4.0,4.0,6.0,5.0,4.0
22,126,1990,1,,13.0,7.0,"11,19",2.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,6.0,6.0,6.0,5.0,7.0,2.0,6.0,5.0,6.0,1.0,5.0,7.0,4.0,1.0,6.0,6.0,4.0,1.0,3.0,7.0,1.0,1.0,6.0,7.0,7.0,1.0
23,126,1993,2,,14.0,6.0,11,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,7.0,2.0,7.0,2.0,7.0,7.0,7.0,1.0,7.0,1.0,,,,,,7.0,5.0,,,,,,,,,
24,185,1988,1,,6.0,10.0,16,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,3.0,5.0,3.0,3.0,6.0,4.0,7.0,5.0,5.0,4.0,6.0,4.0,6.0,6.0,1.0,1.0,4.0,5.0,1.0,1.0,5.0,6.0,1.0,1.0,4.0,5.0,1.0,2.0
25,185,2000,1,,24.0,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,185,1998,1,,20.0,0.0,,2.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,2.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,2.0,2.0,6.0,1.0,3.0,2.0,2.0,1.0
27,169,1996,2,,24.0,13.0,"9,16,17",3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,6.0,5.0,5.0,6.0,5.0,3.0,5.0,3.0,4.0,4.0,7.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,3.0,4.0,4.0,4.0,4.0
28,185,1995,3,,19.0,,19,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,2.0,4.0,2.0,5.0,6.0,4.0,6.0,4.0,6.0,3.0,1.0,4.0,3.0,2.0,7.0,2.0,4.0,7.0,5.0,7.0,5.0,6.0,7.0,5.0,6.0,7.0,7.0,3.0
29,185,1998,1,,17.0,8.0,13,4.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,1.0,2.0,6.0,6.0,7.0,3.0,4.0,5.0,2.0,4.0,6.0,7.0,7.0,2.0,4.0,7.0,7.0,2.0,6.0,7.0,5.0,1.0,7.0,7.0,6.0,3.0
30,163,1983,1,,15.0,13.0,"3,10,13,17",3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,5.0,7.0,4.0,6.0,6.0,6.0,1.0,7.0,2.0,5.0,3.0,5.0,2.0,2.0,5.0,7.0,6.0,3.0,2.0,6.0,2.0,3.0,4.0,6.0,4.0
31,78,1998,1,,17.0,1.75,17,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,3.0,4.0,1.0,6.0,5.0,4.0,2.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0
32,126,1979,2,,24.0,19.0,11,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,7.0,6.0,6.0,6.0,7.0,2.0,7.0,1.0,5.0,1.0,6.0,6.0,1.0,1.0,6.0,6.0,2.0,1.0,6.0,6.0,1.0,6.0,6.0,6.0,2.0,1.0
33,126,1970,4,,24.0,16.0,11,2.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,6.0,6.0,7.0,5.0,1.0,6.0,1.0,4.0,,5.0,7.0,7.0,6.0,7.0,1.0,6.0,6.0,4.0,6.0,7.0,7.0,6.0,5.0
34,164,1992,2,,24.0,5.0,19,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,4.0,7.0,4.0,7.0,6.0,6.0,4.0,7.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,5.0,6.0,1.0,1.0,6.0,7.0,7.0,1.0
35,126,1999,1,,17.0,7.0,"9,11,15,17,18,19",4.0,3.0,4.0,5.0,1.0,4.0,4.0,3.0,4.0,5.0,2.0,5.0,5.0,5.0,7.0,1.0,7.0,6.0,7.0,2.0,7.0,5.0,3.0,7.0,5.0,4.0,5.0,7.0,6.0,4.0,2.0,7.0,4.0,4.0,6.0,3.0,5.0,4.0
36,126,1987,2,,13.0,6.0,"14,19",2.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,6.0,1.0,6.0,2.0,7.0,6.0,6.0,2.0,6.0,2.0,7.0,4.0,7.0,1.0,7.0,7.0,7.0,2.0,5.0,6.0,5.0,4.0,6.0,6.0,6.0,2.0
37,164,1981,1,,24.0,17.0,10,4.0,5.0,5.0,4.0,5.0,2.0,3.0,4.0,4.0,5.0,1.0,5.0,6.0,6.0,4.0,6.0,7.0,5.0,5.0,1.0,6.0,1.0,7.0,5.0,6.0,1.0,5.0,7.0,1.0,1.0,5.0,7.0,1.0,1.0,7.0,7.0,1.0,1.0
38,130,1993,1,,17.0,5.0,"10,13,14",4.0,4.0,5.0,4.0,5.0,2.0,5.0,4.0,5.0,5.0,2.0,5.0,7.0,1.0,5.0,3.0,7.0,5.0,6.0,2.0,2.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,2.0,1.0,3.0,4.0,1.0,6.0,6.0,6.0,5.0
39,130,1991,2,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,164,1996,1,,24.0,4.0,"10,11,13",3.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,2.0,5.0,6.0,4.0,6.0,3.0,7.0,3.0,6.0,1.0,6.0,1.0,7.0,4.0,4.0,1.0,7.0,7.0,6.0,1.0,5.0,6.0,1.0,1.0,5.0,7.0,1.0,1.0
41,78,1992,1,,20.0,7.0,11,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
42,185,1975,2,,11.0,10.0,"8,9,13",2.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,3.0,5.0,3.0,1.0,7.0,5.0,7.0,6.0,7.0,2.0,6.0,5.0,7.0,7.0,2.0,2.0,5.0,7.0,5.0,1.0,6.0,4.0,4.0,1.0,7.0,7.0,2.0,2.0
43,164,1990,2,,24.0,9.5,11,4.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,,4.0,6.0,3.0,7.0,7.0,5.0,2.0,4.0,2.0,6.0,7.0,1.0,1.0,4.0,7.0,6.0,1.0,1.0,7.0,1.0,1.0,7.0,7.0,7.0,1.0
44,104,1993,1,,24.0,4.0,11,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,2.0,3.0,4.0,4.0,2.0
45,172,1993,1,,15.0,5.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,78,1994,1,,24.0,,11,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,1.0,7.0,2.0,7.0,1.0,6.0,1.0,6.0,1.0,7.0,6.0,1.0,1.0,5.0,6.0,3.0,2.0,5.0,7.0,1.0,1.0,4.0,7.0,3.0,1.0
47,185,1997,2,,35.0,,,3.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,2.0,5.0,3.0,1.0,5.0,5.0,5.0,5.0,6.0,3.0,5.0,3.0,6.0,6.0,7.0,2.0,5.0,5.0,6.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,4.0,4.0
48,104,1992,1,,33.0,5.0,"3,7,18,19",2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,3.0,,7.0,7.0,5.0,6.0,5.0,2.0,,6.0,6.0,6.0,6.0
49,126,1984,2,,17.0,8.0,11,2.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,7.0,6.0,7.0,3.0,7.0,5.0,7.0,1.0,7.0,6.0,7.0,7.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0
50,126,1992,1,,17.0,6.0,12,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,7.0,1.0,7.0,2.0,6.0,4.0,4.0,1.0,6.0,1.0,6.0,6.0,6.0,1.0,7.0,7.0,7.0,1.0,7.0,6.0,1.0,1.0,6.0,7.0,6.0,1.0
51,126,1998,2,,23.0,1.0,"11,14",4.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,4.0,7.0,1.0,6.0,2.0,7.0,2.0,7.0,2.0,4.0,2.0,6.0,7.0,7.0,1.0,6.0,7.0,4.0,1.0,5.0,3.0,2.0,1.0,7.0,7.0,5.0,1.0
52,126,1991,2,,16.0,5.0,11,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,6.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,,1.0,,4.0,4.0,4.0,1.0
53,126,2001,2,,14.0,,"10,11",4.0,4.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,2.0,2.0,6.0,6.0,7.0,6.0,5.0,2.0,5.0,3.0,4.0,4.0,5.0,1.0,4.0,4.0,5.0,1.0,4.0,4.0,4.0,1.0,5.0,6.0,5.0,1.0
54,126,1979,2,,17.0,7.0,10,2.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,6.0,1.0,6.0,1.0,6.0,4.0,6.0,1.0,6.0,1.0,5.0,7.0,4.0,3.0,6.0,6.0,6.0,1.0,4.0,4.0,,1.0,6.0,7.0,7.0,1.0
55,126,1986,2,,16.0,13.0,11,4.0,5.0,4.0,5.0,5.0,,3.0,3.0,4.0,5.0,3.0,5.0,6.0,3.0,,4.0,6.0,5.0,7.0,1.0,5.0,2.0,,,,,,,7.0,,,,,,,,,
56,126,1986,2,,17.0,11.0,10,4.0,5.0,5.0,4.0,3.0,5.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,2.0,6.0,1.0,7.0,2.0,6.0,2.0,6.0,2.0,,,,,,,,,,,,,,,,
57,126,1990,2,,24.0,,"10,17,19",4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,7.0,1.0,7.0,4.0,6.0,2.0,6.0,1.0,,,,,,,,,,,,,,,,
58,126,1992,1,,6.0,7.0,11,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,6.0,,2.0,7.0,6.0,7.0,1.0,6.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,1.0,6.0,7.0,1.0,1.0,6.0,7.0,1.0,1.0
59,164,1991,1,,15.0,4.0,3,3.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,7.0,2.0,2.0,2.0,6.0,5.0,5.0,2.0,6.0,2.0,7.0,7.0,1.0,1.0,6.0,7.0,1.0,1.0,5.0,4.0,3.0,3.0,6.0,6.0,4.0,2.0
60,192,1997,2,,24.0,2.0,"14,19",2.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,5.0,3.0,5.0,1.0,3.0,4.0,6.0,5.0,5.0,4.0,5.0,6.0,5.0,4.0,6.0,6.0,1.0,1.0,6.0,6.0,6.0,6.0
61,78,1993,2,,15.0,3.0,"10,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,179,1996,1,,24.0,2.0,"10,19",2.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,6.0,3.0,6.0,5.0,5.0,1.0,7.0,3.0,5.0,6.0,4.0,1.0,5.0,6.0,2.0,2.0,4.0,7.0,1.0,1.0,4.0,6.0,6.0,4.0
63,185,1998,2,,24.0,1.0,"16,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,80,1989,2,,22.0,7.0,"14,17",4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,6.0,5.0,5.0,1.0,7.0,3.0,4.0,1.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,6.0,3.0,2.0,5.0,5.0,2.0,2.0,5.0,4.0,2.0,2.0
65,75,2000,1,,18.0,0.0,,2.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,5.0,2.0,4.0,6.0,6.0,5.0,7.0,3.0,7.0,5.0,6.0,3.0,5.0,2.0,6.0,7.0,4.0,6.0,1.0,3.0,5.0,4.0,5.0,7.0
66,75,1995,2,,19.0,5.0,"10,16",4.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,6.0,5.0,7.0,5.0,7.0,2.0,6.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,6.0,5.0,4.0,5.0,2.0,3.0,5.0,5.0,5.0,5.0
67,78,1987,2,,24.0,8.0,11,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,3.0,6.0,7.0,7.0,1.0,6.0,5.0,7.0,6.0,1.0,1.0,6.0,6.0,1.0,1.0,6.0,7.0,1.0,1.0,7.0,7.0,7.0,1.0
68,118,1996,2,,17.0,5.0,"10,11,13,16",4.0,5.0,5.0,2.0,5.0,5.0,3.0,5.0,5.0,4.0,2.0,5.0,5.0,4.0,7.0,2.0,7.0,4.0,7.0,2.0,6.0,3.0,7.0,6.0,4.0,6.0,4.0,4.0,2.0,4.0,5.0,7.0,3.0,4.0,6.0,6.0,3.0,3.0
69,185,1992,1,,15.0,7.0,"3,8,15",4.0,2.0,2.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,1.0,3.0,4.0,2.0,6.0,3.0,5.0,6.0,6.0,3.0,6.0,6.0,6.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,6.0,1.0,7.0,3.0,4.0,4.0,6.0,4.0
70,126,1995,1,,20.0,3.0,"11,17",4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,6.0,4.0,5.0,4.0,6.0,6.0,6.0,1.0,6.0,3.0,5.0,6.0,5.0,1.0,6.0,6.0,6.0,3.0,4.0,5.0,2.0,2.0,6.0,6.0,4.0,1.0
71,192,1998,1,,20.0,1.0,"7,11,19",4.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,2.0,5.0,6.0,4.0,6.0,1.0,7.0,5.0,6.0,1.0,7.0,1.0,6.0,6.0,4.0,1.0,6.0,7.0,7.0,2.0,7.0,5.0,5.0,1.0,7.0,7.0,7.0,1.0
72,78,1984,1,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,78,1997,2,,15.0,3.0,"10,14",3.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0,3.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
74,164,1986,2,,24.0,12.0,11,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,1.0,6.0,1.0,7.0,3.0,7.0,6.0,6.0,1.0,6.0,7.0,4.0,1.0,4.0,7.0,1.0,1.0,7.0,3.0,1.0,1.0,7.0,7.0,5.0,3.0
75,164,1980,1,,24.0,,11,2.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,6.0,7.0,7.0,7.0,3.0,7.0,2.0,7.0,2.0,6.0,6.0,5.0,2.0,5.0,6.0,6.0,2.0,6.0,3.0,6.0,2.0,6.0,6.0,6.0,2.0
76,137,1996,1,,4.0,,"3,6,7,17",4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,5.0,1.0,7.0,1.0,7.0,2.0,6.0,1.0,7.0,7.0,4.0,1.0,7.0,7.0,4.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0,4.0,4.0
77,164,1990,1,,24.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,130,1992,1,,15.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,78,1994,2,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,126,1988,1,,15.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
